APPL,MSFT,HL,NEM,F,TM
19.0757451706255,67.3963645774691,0.563034499902472,13.4379628692068,25.0734960305139,82.6315147277928
18.5128543295251,69.0843996828417,0.500475111024419,13.2504564105667,24.9484411874689,75.0586273306541
19.3259188777812,69.9596771448868,0.625593888780524,14.8130102325674,24.0730572861542,72.0774942879782
17.0743555133795,56.6429557580584,0.625593888780524,16.2505597488082,24.1981121291992,71.827398898364
15.0729648554387,54.4547621029458,0.688153277658576,16.6255726660884,24.1355847076767,67.7358343227482
14.0722710275106,49.2030973306755,0.688153277658576,16.1880575959281,22.5098717480923,69.9666881992522
15.0104224293446,46.4522253071053,0.563034499902472,17.6881092650489,22.8225088557047,65.5249920789396
14.8853355757668,43.3887541899476,0.500475111024419,17.0630877362486,23.4477830709294,62.9740201052556
16.3863778187012,49.140577511958,0.563034499902472,16.8755812776085,26.261517039441,65.5449967089641
17.1994423669574,53.5169648221832,0.688153277658576,16.8755812776085,26.3865718824859,59.3226254161241
19.513549158148,61.0193430682837,0.938390833170786,16.3130619016882,26.3240444609635,67.3756959613221
19.576092584937,64.0202943667239,0.813272055414681,15.7505425257679,28.0122848420704,66.0151770418205
20.6393308403489,60.8317836121312,0.910864702064443,15.440531847483,28.022289229514,67.8258726645356
19.1382885974144,59.1437485067586,0.750712666536629,14.4504977458633,26.931810998162,67.0555748629974
19.0132017438365,57.330673763951,0.770731670977606,15.03051772459,27.6121093443265,68.8362530366694
18.8255714634697,56.7679953954935,0.770731670977606,15.9605497594448,28.3624384025963,69.1763867680711
19.2633754509923,56.7054755767759,0.900855199843955,16.6005718049363,28.0723101662932,66.2252561687149
20.2640702796153,56.7054755767759,0.950902710946396,17.9906196849882,30.1132062052257,68.5761588333784
19.6386360117259,54.5798017403808,0.750712666536629,16.0505518595576,28.442473502145,67.7258285064005
23.0159810583284,56.5804359393409,0.710674657654675,16.5005683603283,27.9122409676344,73.5280445465963
22.0853348677091,54.7048413778158,0.690655653213698,16.1205562708522,28.1323384918323,70.7769952608393
20.6043065213471,56.2053170270359,0.770731670977606,17.1505907502806,27.8121960927597,69.526518312768
22.4355780577271,62.1997172456702,0.800760177639071,16.5505690825979,29.01272358643,66.8354899197553
25.0573995094141,69.0218798641242,0.780741173198094,16.7805790052653,30.0131623307897,66.5954003464887
